x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
253 , 275 , 372 , 288 , 119.708 , 120.0 , -6.234 , 0.0 , 5.582 , 30.584
252 , 276 , 372 , 288 , 120.599 , 120.0 , -5.711 , 0.0 , 5.603 , 28.803
253 , 276 , 373 , 287 , 120.503 , 120.0 , -5.237 , 0.0 , 5.616 , 28.994
253 , 277 , 373 , 288 , 120.503 , 120.0 , -5.237 , 0.0 , 5.632 , 28.994
252 , 277 , 373 , 288 , 121.499 , 120.0 , -5.194 , 0.0 , 5.65 , 27.002
253 , 277 , 374 , 287 , 121.413 , 120.0 , -4.724 , 0.0 , 5.665 , 27.175
252 , 277 , 374 , 287 , 122.409 , 120.0 , -4.686 , 0.0 , 5.683 , 25.182
252 , 277 , 374 , 286 , 122.332 , 120.0 , -4.219 , 0.0 , 5.699 , 25.337
252 , 278 , 374 , 286 , 122.262 , 120.0 , -3.752 , 0.0 , 5.721 , 25.476
252 , 279 , 374 , 285 , 122.147 , 120.0 , -2.816 , 0.0 , 5.736 , -25.705
252 , 278 , 374 , 285 , 122.201 , 120.0 , -3.284 , 0.0 , 5.752 , 25.599
